Distance
2.191
3.016
3.931
5.01
6.042000000000001
6.912000000000001
7.975
8.753
10.031
10.648
11.61
12.495
2.191
3.016
3.931
5.01
6.042000000000001
6.912000000000001
7.975
8.753
10.031
10.648
