Salinity
0.85
0.96
0.68
1.35
1.42
0.7
2.3
1.7
1.82
2.0
0.7
0.27
0.3
0.32
0.39
0.55
0.32
0.24
0.87
0.73
0.65
1.6
0.8
1.16
0.4
0.82
0.48
0.45
0.96
0.54
0.39
0.35
0.33
0.52
0.27
1.22
0.53
0.2
0.45
0.82
2.29
0.83
0.6
0.85
1.13
0.32
0.59
1.73
0.24
0.16
0.18
0.58
0.72
0.68
0.63
0.79
1.12
0.93
0.86
