Distance
2.191487998
2.191487998
3.016286226
3.016286226
3.931050875
3.931050875
5.010024688
5.010024688
6.042432643
6.042432643
6.91200719
6.91200719
7.975378898
7.975378898
8.752516306
8.752516306
10.03125584
10.03125584
10.64803056
10.64803056
11.61014774
12.49461373
