Salinity
0.435
0.68
0.35
0.28
0.51
0.18
0.32
0.3
0.195
0.27
0.32
0.6259225
0.16
0.605
0.602412
0.24
0.24
0.62
0.6751137
0.958
1.305
0.7
0.830283
0.32
0.7
0.527
0.545
0.86
0.81
0.93
1.13
2.0
0.895
1.28
1.82
1.73
0.75
2.291551
1.222
0.55
0.854
0.85
1.7
0.7232198
1.12
2.3
1.985
0.79
0.725
0.7
0.59
0.815815
0.895
0.448
0.39
1.42
0.955
0.5778164
1.35
